title,size_m2,price,latitude,longitude
Se Vende Hermoso Apartamento Pent House en Clayton Embassy Club (Para Inversión),325,760000,8.993054700000165,-79.56084248783566
Venta de Apartamento en Bella Vista,98,248000,8.9741489905316,-79.52935677567132
20 - 3727 Af Esplendido Apartamento en Venta en Paitilla,606,1763991,8.976106428416731,-79.51399325767213
Alquiler Venta Amoblado 2 Recámaras 2 Baños $130.000 y $800 Mensual #258,80,130000,,
Apartamentos en San Francisco - Lumina Residences Pre - Venta,90,207000,8.993163343496013,-79.50081202590331
Venta Apartamento Remate Vitro Loft Amoblado. El Más Grande,117,160000,,
"Apartamento, Punta Paitilla, PH Sonesta, 300 m&sup2;",300,450000,8.971560844572124,-79.51596643862302
A Estrenar en Vista Hermosa - Bono Hasta 8000$,87,179000,8.996517278996023,-79.52162857860412
Espectacular Apartamento Frente Al Mar y Exonerado de Impuestos!,291,770000,9.0100419,-79.46590040000001
Ganga 188 M&sup2;! Sevilla - Costa del Este - Apartamento en Venta,188,265000,9.012237234965795,-79.47789033970338
"Venta: 1 Recámara Oasis On The Bay, Punta Pacífica",99,205000,8.974620858894223,-79.5068657398224
Venta de Apartamento en Obarrio. Ultimo World Wide Plaza,53,140000,,
¡Oferta! Lujoso Penthouse con Vista Al Mar - Paitilla,460,625000,8.976021648844611,-79.51241611877134
Vendo Apartamento Pearl Costa del Este Ganga,297,630000,,
Apartamento en Venta Parque del Mar I Costa del Este,202,,9.013076918189203,-79.47046205690003
Alquiler o Venta/lindas Vistas Al Mar y Ciudad 142 m&sup2; - 2 Recamaras + 2parks,142,1300,,
"Millenium Park - Apartamentos en Venta $130,000 - Vía Transistmica Betania",58,130000,9.013291417258378,-79.51803554501339
"Alquiler o Venta PH Marqui, El Cangrejo Full Amueblado",82,170000,8.9880769509494,-79.52886324921263
A Estrenar en Vista Hermosa - Bono Hasta 10.000$,100,209000,8.996517278996023,-79.52162857860412
P. H. The Regent San Francisco,156,305000,8.995255199999999,-79.50621999999998
Super Ganga Apt Nuevo Lujoso Aaa con Full Linea Blanca en Coco del Mar 1300,124,1300,,
Venta Apartamento Colores de Bella Vista. Amoblado con Depósito.,47,130000,8.974777324916266,-79.52992640832065
Primera Línea | 3 Recámaras | 3.5 Baños | Cuarto y Baño de Empleada | 3 Parking,303,750000,9.011174788927045,-79.47056830435984
PH Maresias - Piso Medio - Punta Pacifica,450,800000,8.970701628797125,-79.5173308295515
Venta Apartamento The Cosmopolitan en San Francisco,98,179000,8.9907931,-79.51036590000001
"Coco del Mar – Frente Al Mar – 160 m&sup2; – 310,000",160,310000,8.992419595561852,-79.49779128211878
"El Cangrejo 275 y 315 m&sup2; / Alquiler Desde $2,200",275,2200,,
Se Vende Apartamento en Tumba Muerto,65,134000,8.984767521736647,-79.53178522212488
"Av Balboa Cinta Costera Frente Al Mar 50 m&sup2;, 1r, 2b Vende Reserva Entrega Ab 2021",50,169000,8.962430872283194,-79.53637134805456
PH Miramar - Av Balboa - Apartamento en Venta,750,1400000,8.9747878,-79.5269098
Apt Amoblado Lujoso Aaa 1r1.5b1p Vista a Mar en PH Oasis Punta Pacifica 1200,93,300000,,
Apartamento en Venta en San Carlos 20 - 4678 Yd,46,58000,8.492794034521546,-79.96135794340819
"Venta Apartamento Costa del Este Pijao, 3 Habitaciones. Ingresos: $2,960",98,196000,9.014849155544352,-79.47736606290435
Ganga Espectacular Apto en Embassy Club,150,350000,,
Apartamento Amoblado en Venta en Colores de Bellavista Para Inversión.,50,135000,8.9746775,-79.52945030000001
Moderno Apartamento en Venta en P. H. Yoo Panamá,129,384000,8.976083299999999,-79.5234418
Vendo Apartamento en Costa del Este P. H. Green Bay,125,190000,9.012525829789881,-79.48034227401011
Venta Apartamento. Av Balboa. Bay View. Amoblado. Vista Al Mar,49,125000,,
"Se Vende Exclusivo Apartamento en PH Miramar, Torre 2, Av Balboa",750,1150000,8.974699683177619,-79.52746575501709
Se Vende Apartamento - PH Paramount - Costa del Este,317,780000,9.012361585876846,-79.46873367339366
PH Terramar - San Francisco - Apartamento Vista Al Mar,110,200000,8.987586766644307,-79.50131696560669
Vendo Apartamento San Francisco,299,325000,,
"Venta de Apartamento, Woodlands Panamá Pacífico",105,188000,8.9394434,-79.64234859999999
"Torres del Parque. 230 m 3r 3.5b Lb Ac 3est $399,000",230,399000,8.9759549,-79.51257479999998
Oasis On The Bay Frente Al Mar $248 Mil | Opportunity For Real Estate Investors!,99,248000,8.98367695664302,-79.50904182693284
Venta Apartamento Amoblado PH Panama Bay Costa del Este Gm 20 - 819,765,2050000,9.012663659797985,-79.46658894708253
Vendo| Super Precio |p. H. Colores Bella Vista |acceso Fácil a Todo,82,210000,,
PH Pacific Point / Punta Pacífica / Venta,315,550000,8.97664497358383,-79.50925827026369
Super Ganga Apt Nuevo 2r2b Cerca Estacion de Metro en Via España 850,87,850,,
The Reserve con Patio $760k y Providence Modelo A $880k,241,760000,,
Alquilo Vendo Amoblado en Moon,84,150000,,
"Bella Vista, Venta Apartamento, Rocamar! Rl",240,305000,,
"Central Park.91 m 3r 2b 2est Lb Ac $128,000",91,128000,9.0190022,-79.51614899999998
Apartamentos en Santa María Golf & Country Club,188,470000,9.0275816,-79.4542308
"Vendo, Apartamentos 2 y 3 Rec Altavista Tower, Tumba Muerto, El Bosque",83,145000,9.03380146085319,-79.51271700975649
"Venta Apartamento en Av Balboa Frente Al Oceano, U$135,000.=",50,135000,8.961682999999999,-79.53689350000002
19 - 8138 Af Cómodo Apartamento en Venta en Punta Pacifica,95,230000,8.97767887823423,-79.50728229781907
Apartamento en Venta en Coco del Mar 20 - 4753 Yd,412,740000,9.001432204840839,-79.49636971134085
Sólo 6 Disponibles. Los Mejores Apartamentos en David a La Venta!,87,149950,,
PH Yacht Club - Apartamento en Venta Av Balboa - Vista Al Mar $540k,218,540000,,
2 - 00246 Apartamento en Coco del Mar,148,300000,9.001432204840839,-79.49636971134085
"Se Alquila o Vende Hermoso Apartamento Amoblado, Playa Dorada",66,135000,8.89125609843599,-79.6696194734024
Loma Vista / Al Lado del Hospital San Fernando / Entrega Inmediata,78,202000,9.004349895097164,-79.51654120020827
Apartamento en El Caribe Playa Escondida Colon,228,547000,,
Epoca - Parque Lefevre | Apartamentos Centricos,50,117500,9.016634846318398,-79.49525652012096
Venta Apartamento Las Acasias a Estrenar,77,108000,,
Preventa Apartamentos en Hato Pintado - Ocupa 2021,128,279600,9.0155943,-79.53436110000001
"Se Vende Apartamento en Casco Viejo, Edificio Benedetti",187,550000,8.954539649438122,-79.53964701800766
Espectacular Apartamento en P. H. The Point - San Francisco - Punta Paitilla.,500,0,8.9711214,-79.517956
Id11626 Windsor II en Alquiler,143,1250,8.992637792405628,-79.52760867909853
Se Vende Apartamento en Costa del Este,200,520000,9.010078135028747,-79.47551533868409
Oportunidad de Inversión en PH Majestic Gardens.,79,145000,,
Precioso Apartamento en Villa de Las Fuentes,98,165000,,
P. H. Sky. Excelente Oportunidad de Inversión. 1 Recamara Mas Estudio Independiente,130,295000,,
Hato Pintado PH Highland View 220 m&sup2; $400 Miil 3 Recamaras 3.5 Banos,220,400000,9.012732699999999,-79.51375100000001
PH Waters Av Balboa Amoblado Alquiler $m&sup2; 2 Recamaras 2 Banos,123,1500,8.9760171,-79.5230153
Mi Condado T - 100 - Entrega II Semestre 2020,87,165000,9.029128370934236,-79.52510291691897
"Pacific Point, Punta Pacífica (Oportunidad)",306,570000,,
Precioso Apartamento en Hato Pintado,90,180000,,
PH Marea - Costa del Este,626,1500000,9.01498,-79.4784
Oportunidad! Vendo Apartamento Punta Pacifica U$218.000.=,110,218000,8.9775375,-79.51173159999996
Cerca Al Parque Omar 94 m&sup2; - 2recs + 2baños + 1park,94,152000,,
Venta de Apartamento en Costa del Este,680,1480000,9.0096803,-79.47169859999997
